message,intent
"Due to hailstorm, situation is worsening in Dehradun. Need aid!",missing_person
"Due to landslide, situation is worsening in Pithoragarh. Need aid!",damage_report
"Severe cloudburst has affected us in Pauri, need urgent help!",missing_person
Electricity has gone after cloudburst in Dehradun.,power_failure
We need to evacuate urgently due to flood in Tehri.,evacuation_request
Help! Our house is stuck due to a drought in Dehradun.,evacuation_request
Help! Our house is stuck due to a earthquake in Pauri.,request_rescue
"Severe drought has affected us in Bageshwar, need urgent help!",damage_report
"There is a flood in Almora, please assist us.",evacuation_request
Help! Our house is stuck due to a landslide in Pithoragarh.,request_rescue
"Due to cloudburst, situation is worsening in Bageshwar. Need aid!",power_failure
Water and food are running out after hailstorm hit Almora.,request_supplies
"There is a earthquake in Uttarkashi, please assist us.",missing_person
We need to evacuate urgently due to fire in Dehradun.,evacuation_request
We need to evacuate urgently due to landslide in Almora.,evacuation_request
We need to evacuate urgently due to hailstorm in Pithoragarh.,evacuation_request
People missing after fire in Uttarkashi.,missing_person
"Severe hailstorm has affected us in Chamoli, need urgent help!",request_medical_aid
People missing after earthquake in Chamoli.,missing_person
"We are trapped in a earthquake in Pauri, send help!",request_rescue
We need to evacuate urgently due to cloudburst in Nainital.,evacuation_request
"Severe earthquake has affected us in Rudraprayag, need urgent help!",request_information
We need to evacuate urgently due to fire in Bageshwar.,evacuation_request
"There is a cloudburst in Dehradun, please assist us.",missing_person
People missing after cloudburst in Chamoli.,missing_person
Water and food are running out after landslide hit Chamoli.,request_supplies
Help! Our house is stuck due to a fire in Bageshwar.,request_rescue
We need medical assistance due to cloudburst in Pauri.,request_medical_aid
Electricity has gone after hailstorm in Bageshwar.,power_failure
"There is a earthquake in Chamoli, please assist us.",request_supplies
"We are trapped in a hailstorm in Pithoragarh, send help!",request_rescue
"Due to cloudburst, situation is worsening in Rudraprayag. Need aid!",request_supplies
"Severe flood has affected us in Uttarkashi, need urgent help!",request_information
"Severe earthquake has affected us in Almora, need urgent help!",damage_report
"Severe hailstorm has affected us in Nainital, need urgent help!",power_failure
We need medical assistance due to flood in Pithoragarh.,request_medical_aid
Water and food are running out after cloudburst hit Nainital.,request_supplies
Water and food are running out after landslide hit Nainital.,request_supplies
"There is a flood in Chamoli, please assist us.",evacuation_request
"Due to fire, situation is worsening in Nainital. Need aid!",missing_person
"There is a flood in Bageshwar, please assist us.",damage_report
"We are trapped in a cloudburst in Tehri, send help!",request_rescue
"Severe hailstorm has affected us in Rudraprayag, need urgent help!",power_failure
We need to evacuate urgently due to landslide in Bageshwar.,evacuation_request
People missing after earthquake in Pithoragarh.,missing_person
"Severe drought has affected us in Nainital, need urgent help!",power_failure
We need to evacuate urgently due to flood in Almora.,evacuation_request
Water and food are running out after drought hit Pauri.,request_supplies
"We are trapped in a hailstorm in Uttarkashi, send help!",request_rescue
Water and food are running out after landslide hit Rudraprayag.,request_supplies
Electricity has gone after hailstorm in Nainital.,power_failure
We need to evacuate urgently due to earthquake in Rudraprayag.,evacuation_request
"We are trapped in a landslide in Almora, send help!",request_rescue
"Due to drought, situation is worsening in Dehradun. Need aid!",evacuation_request
"There is a fire in Pithoragarh, please assist us.",request_medical_aid
We need to evacuate urgently due to hailstorm in Chamoli.,evacuation_request
We need medical assistance due to earthquake in Rudraprayag.,request_medical_aid
Help! Our house is stuck due to a fire in Pauri.,request_medical_aid
"Severe drought has affected us in Tehri, need urgent help!",request_information
"We are trapped in a drought in Nainital, send help!",request_rescue
Water and food are running out after cloudburst hit Uttarkashi.,request_supplies
"Due to earthquake, situation is worsening in Tehri. Need aid!",evacuation_request
Help! Our house is stuck due to a landslide in Chamoli.,request_rescue
Electricity has gone after earthquake in Bageshwar.,power_failure
Help! Our house is stuck due to a cloudburst in Bageshwar.,evacuation_request
Electricity has gone after flood in Pithoragarh.,power_failure
We need medical assistance due to fire in Chamoli.,request_medical_aid
Electricity has gone after hailstorm in Chamoli.,power_failure
"Severe flood has affected us in Pithoragarh, need urgent help!",request_supplies
Help! Our house is stuck due to a drought in Nainital.,request_medical_aid
"Due to cloudburst, situation is worsening in Uttarkashi. Need aid!",request_rescue
We need medical assistance due to landslide in Uttarkashi.,request_medical_aid
"Severe landslide has affected us in Dehradun, need urgent help!",request_medical_aid
Electricity has gone after fire in Uttarkashi.,power_failure
We need medical assistance due to fire in Pithoragarh.,request_medical_aid
"Severe drought has affected us in Rudraprayag, need urgent help!",power_failure
"We are trapped in a earthquake in Bageshwar, send help!",request_rescue
"Severe hailstorm has affected us in Tehri, need urgent help!",evacuation_request
Electricity has gone after landslide in Chamoli.,power_failure
We need medical assistance due to flood in Tehri.,request_medical_aid
"We are trapped in a flood in Chamoli, send help!",request_rescue
"There is a flood in Pauri, please assist us.",evacuation_request
"There is a earthquake in Almora, please assist us.",damage_report
Electricity has gone after landslide in Pithoragarh.,power_failure
"We are trapped in a drought in Uttarkashi, send help!",request_rescue
People missing after flood in Nainital.,missing_person
"Due to flood, situation is worsening in Chamoli. Need aid!",request_information
People missing after flood in Uttarkashi.,missing_person
"Due to fire, situation is worsening in Pauri. Need aid!",power_failure
"There is a flood in Dehradun, please assist us.",request_medical_aid
People missing after fire in Rudraprayag.,missing_person
"Severe landslide has affected us in Tehri, need urgent help!",evacuation_request
Electricity has gone after fire in Dehradun.,power_failure
"Severe drought has affected us in Almora, need urgent help!",request_rescue
People missing after hailstorm in Bageshwar.,missing_person
Electricity has gone after cloudburst in Bageshwar.,power_failure
"We are trapped in a cloudburst in Uttarkashi, send help!",request_rescue
Electricity has gone after flood in Bageshwar.,power_failure
"Severe earthquake has affected us in Pithoragarh, need urgent help!",power_failure
People missing after flood in Pauri.,missing_person
"Severe earthquake has affected us in Pithoragarh, need urgent help!",power_failure
Help! Our house is stuck due to a fire in Chamoli.,request_medical_aid
People missing after cloudburst in Chamoli.,missing_person
People missing after cloudburst in Rudraprayag.,missing_person
"Due to drought, situation is worsening in Tehri. Need aid!",request_supplies
"Due to earthquake, situation is worsening in Chamoli. Need aid!",request_medical_aid
Electricity has gone after earthquake in Pithoragarh.,power_failure
"Severe drought has affected us in Tehri, need urgent help!",request_medical_aid
People missing after earthquake in Dehradun.,missing_person
We need to evacuate urgently due to earthquake in Tehri.,evacuation_request
We need to evacuate urgently due to fire in Bageshwar.,evacuation_request
"We are trapped in a fire in Rudraprayag, send help!",request_rescue
"We are trapped in a hailstorm in Bageshwar, send help!",request_rescue
"Severe landslide has affected us in Almora, need urgent help!",request_medical_aid
Water and food are running out after landslide hit Pithoragarh.,request_supplies
People missing after drought in Almora.,missing_person
"There is a fire in Bageshwar, please assist us.",evacuation_request
"We are trapped in a fire in Dehradun, send help!",request_rescue
"We are trapped in a hailstorm in Pauri, send help!",request_rescue
"Due to drought, situation is worsening in Nainital. Need aid!",power_failure
"Due to cloudburst, situation is worsening in Dehradun. Need aid!",evacuation_request
"There is a landslide in Almora, please assist us.",damage_report
We need to evacuate urgently due to earthquake in Chamoli.,evacuation_request
Water and food are running out after hailstorm hit Chamoli.,request_supplies
People missing after landslide in Bageshwar.,missing_person
"Due to earthquake, situation is worsening in Pauri. Need aid!",damage_report
"Severe earthquake has affected us in Dehradun, need urgent help!",request_supplies
Help! Our house is stuck due to a earthquake in Pithoragarh.,power_failure
Electricity has gone after earthquake in Tehri.,power_failure
People missing after hailstorm in Almora.,missing_person
We need to evacuate urgently due to fire in Chamoli.,evacuation_request
Electricity has gone after landslide in Tehri.,power_failure
"Severe fire has affected us in Dehradun, need urgent help!",request_medical_aid
People missing after flood in Nainital.,missing_person
Electricity has gone after cloudburst in Tehri.,power_failure
"We are trapped in a hailstorm in Dehradun, send help!",request_rescue
"We are trapped in a earthquake in Nainital, send help!",request_rescue
"There is a hailstorm in Rudraprayag, please assist us.",missing_person
"Severe earthquake has affected us in Pithoragarh, need urgent help!",missing_person
"Due to earthquake, situation is worsening in Pithoragarh. Need aid!",damage_report
People missing after drought in Rudraprayag.,missing_person
"Due to drought, situation is worsening in Bageshwar. Need aid!",power_failure
We need medical assistance due to cloudburst in Almora.,request_medical_aid
Water and food are running out after earthquake hit Uttarkashi.,request_supplies
"There is a flood in Bageshwar, please assist us.",request_supplies
"We are trapped in a drought in Chamoli, send help!",request_rescue
We need to evacuate urgently due to earthquake in Almora.,evacuation_request
"Due to cloudburst, situation is worsening in Dehradun. Need aid!",request_medical_aid
We need medical assistance due to drought in Tehri.,request_medical_aid
"Due to drought, situation is worsening in Chamoli. Need aid!",power_failure
People missing after fire in Pithoragarh.,missing_person
We need to evacuate urgently due to landslide in Dehradun.,evacuation_request
Help! Our house is stuck due to a cloudburst in Chamoli.,missing_person
"Severe hailstorm has affected us in Tehri, need urgent help!",request_rescue
We need to evacuate urgently due to drought in Pauri.,evacuation_request
Electricity has gone after fire in Pithoragarh.,power_failure
"Due to fire, situation is worsening in Bageshwar. Need aid!",damage_report
People missing after landslide in Tehri.,missing_person
"Due to earthquake, situation is worsening in Pithoragarh. Need aid!",request_supplies
We need to evacuate urgently due to fire in Rudraprayag.,evacuation_request
"There is a landslide in Pithoragarh, please assist us.",evacuation_request
Water and food are running out after flood hit Rudraprayag.,request_supplies
People missing after earthquake in Pithoragarh.,missing_person
Water and food are running out after fire hit Tehri.,request_supplies
People missing after flood in Uttarkashi.,missing_person
Help! Our house is stuck due to a flood in Rudraprayag.,request_supplies
"There is a landslide in Chamoli, please assist us.",power_failure
Water and food are running out after cloudburst hit Chamoli.,request_supplies
People missing after flood in Pauri.,missing_person
"Severe flood has affected us in Tehri, need urgent help!",damage_report
Help! Our house is stuck due to a landslide in Tehri.,evacuation_request
We need medical assistance due to fire in Uttarkashi.,request_medical_aid
"Severe landslide has affected us in Pithoragarh, need urgent help!",missing_person
Electricity has gone after cloudburst in Nainital.,power_failure
Water and food are running out after landslide hit Pauri.,request_supplies
"There is a hailstorm in Chamoli, please assist us.",damage_report
"We are trapped in a landslide in Nainital, send help!",request_rescue
We need to evacuate urgently due to hailstorm in Almora.,evacuation_request
People missing after cloudburst in Dehradun.,missing_person
"There is a landslide in Chamoli, please assist us.",power_failure
Help! Our house is stuck due to a drought in Bageshwar.,request_information
"We are trapped in a fire in Rudraprayag, send help!",request_rescue
"Due to hailstorm, situation is worsening in Dehradun. Need aid!",evacuation_request
"We are trapped in a drought in Pauri, send help!",request_rescue
"There is a fire in Pauri, please assist us.",missing_person
People missing after earthquake in Chamoli.,missing_person
Help! Our house is stuck due to a cloudburst in Uttarkashi.,request_supplies
Electricity has gone after earthquake in Chamoli.,power_failure
"We are trapped in a landslide in Tehri, send help!",request_rescue
Water and food are running out after hailstorm hit Pauri.,request_supplies
Water and food are running out after earthquake hit Pauri.,request_supplies
We need medical assistance due to earthquake in Dehradun.,request_medical_aid
"There is a flood in Tehri, please assist us.",damage_report
Water and food are running out after fire hit Pauri.,request_supplies
"We are trapped in a hailstorm in Rudraprayag, send help!",request_rescue
"Severe hailstorm has affected us in Pithoragarh, need urgent help!",missing_person
Water and food are running out after cloudburst hit Dehradun.,request_supplies
Electricity has gone after flood in Almora.,power_failure
"Severe earthquake has affected us in Almora, need urgent help!",missing_person
Water and food are running out after drought hit Chamoli.,request_supplies
"We are trapped in a flood in Tehri, send help!",request_rescue
We need medical assistance due to fire in Bageshwar.,request_medical_aid
People missing after drought in Tehri.,missing_person
Help! Our house is stuck due to a fire in Rudraprayag.,request_supplies
Electricity has gone after landslide in Uttarkashi.,power_failure
People missing after flood in Chamoli.,missing_person
"Severe fire has affected us in Bageshwar, need urgent help!",request_medical_aid
We need medical assistance due to cloudburst in Uttarkashi.,request_medical_aid
"There is a hailstorm in Bageshwar, please assist us.",damage_report
We need to evacuate urgently due to landslide in Uttarkashi.,evacuation_request
"Due to earthquake, situation is worsening in Rudraprayag. Need aid!",damage_report
"Severe hailstorm has affected us in Pithoragarh, need urgent help!",power_failure
Water and food are running out after fire hit Dehradun.,request_supplies
Electricity has gone after fire in Pithoragarh.,power_failure
People missing after earthquake in Rudraprayag.,missing_person
"We are trapped in a drought in Rudraprayag, send help!",request_rescue
We need to evacuate urgently due to flood in Bageshwar.,evacuation_request
We need medical assistance due to hailstorm in Pithoragarh.,request_medical_aid
People missing after landslide in Uttarkashi.,missing_person
"Due to cloudburst, situation is worsening in Tehri. Need aid!",damage_report
"Severe landslide has affected us in Dehradun, need urgent help!",missing_person
Help! Our house is stuck due to a earthquake in Rudraprayag.,request_rescue
We need medical assistance due to landslide in Tehri.,request_medical_aid
"We are trapped in a hailstorm in Uttarkashi, send help!",request_rescue
Help! Our house is stuck due to a landslide in Bageshwar.,request_information
Water and food are running out after flood hit Uttarkashi.,request_supplies
We need medical assistance due to landslide in Tehri.,request_medical_aid
"We are trapped in a earthquake in Uttarkashi, send help!",request_rescue
Electricity has gone after cloudburst in Pauri.,power_failure
Help! Our house is stuck due to a hailstorm in Nainital.,request_medical_aid
Water and food are running out after earthquake hit Almora.,request_supplies
We need to evacuate urgently due to drought in Dehradun.,evacuation_request
Electricity has gone after fire in Chamoli.,power_failure
"Severe landslide has affected us in Bageshwar, need urgent help!",missing_person
"There is a flood in Pauri, please assist us.",missing_person
"We are trapped in a landslide in Almora, send help!",request_rescue
People missing after fire in Tehri.,missing_person
We need to evacuate urgently due to flood in Dehradun.,evacuation_request
We need medical assistance due to fire in Tehri.,request_medical_aid
"We are trapped in a cloudburst in Rudraprayag, send help!",request_rescue
We need to evacuate urgently due to landslide in Tehri.,evacuation_request
People missing after landslide in Almora.,missing_person
We need to evacuate urgently due to fire in Bageshwar.,evacuation_request
"We are trapped in a landslide in Pauri, send help!",request_rescue
We need to evacuate urgently due to cloudburst in Pithoragarh.,evacuation_request
We need to evacuate urgently due to hailstorm in Almora.,evacuation_request
Electricity has gone after cloudburst in Uttarkashi.,power_failure
Help! Our house is stuck due to a cloudburst in Bageshwar.,request_information
Help! Our house is stuck due to a flood in Pithoragarh.,evacuation_request
We need to evacuate urgently due to fire in Chamoli.,evacuation_request
People missing after drought in Bageshwar.,missing_person
Electricity has gone after fire in Dehradun.,power_failure
Help! Our house is stuck due to a hailstorm in Uttarkashi.,request_information
"Severe flood has affected us in Dehradun, need urgent help!",missing_person
"Due to cloudburst, situation is worsening in Bageshwar. Need aid!",evacuation_request
"Due to landslide, situation is worsening in Chamoli. Need aid!",request_information
"There is a fire in Pithoragarh, please assist us.",request_rescue
Water and food are running out after landslide hit Almora.,request_supplies
We need to evacuate urgently due to fire in Almora.,evacuation_request
"There is a landslide in Chamoli, please assist us.",request_medical_aid
"There is a cloudburst in Rudraprayag, please assist us.",evacuation_request
"Severe cloudburst has affected us in Bageshwar, need urgent help!",evacuation_request
Help! Our house is stuck due to a hailstorm in Rudraprayag.,evacuation_request
Electricity has gone after fire in Rudraprayag.,power_failure
"There is a hailstorm in Almora, please assist us.",request_medical_aid
We need medical assistance due to cloudburst in Tehri.,request_medical_aid
"Due to landslide, situation is worsening in Tehri. Need aid!",request_rescue
We need to evacuate urgently due to earthquake in Tehri.,evacuation_request
"Severe landslide has affected us in Almora, need urgent help!",power_failure
"We are trapped in a flood in Chamoli, send help!",request_rescue
"Due to earthquake, situation is worsening in Almora. Need aid!",evacuation_request
People missing after landslide in Nainital.,missing_person
"We are trapped in a fire in Uttarkashi, send help!",request_rescue
Help! Our house is stuck due to a landslide in Chamoli.,request_rescue
Electricity has gone after drought in Bageshwar.,power_failure
Help! Our house is stuck due to a landslide in Dehradun.,request_rescue
We need medical assistance due to hailstorm in Bageshwar.,request_medical_aid
"We are trapped in a cloudburst in Pithoragarh, send help!",request_rescue
Water and food are running out after hailstorm hit Chamoli.,request_supplies
"We are trapped in a flood in Chamoli, send help!",request_rescue
We need medical assistance due to fire in Bageshwar.,request_medical_aid
"There is a flood in Uttarkashi, please assist us.",request_information
"We are trapped in a hailstorm in Uttarkashi, send help!",request_rescue
We need medical assistance due to drought in Dehradun.,request_medical_aid
People missing after fire in Pauri.,missing_person
Electricity has gone after landslide in Rudraprayag.,power_failure
People missing after fire in Tehri.,missing_person
Help! Our house is stuck due to a drought in Pithoragarh.,missing_person
People missing after cloudburst in Dehradun.,missing_person
People missing after hailstorm in Dehradun.,missing_person
Water and food are running out after hailstorm hit Almora.,request_supplies
We need to evacuate urgently due to hailstorm in Tehri.,evacuation_request
We need medical assistance due to landslide in Tehri.,request_medical_aid
Water and food are running out after landslide hit Rudraprayag.,request_supplies
"There is a flood in Pauri, please assist us.",evacuation_request
We need medical assistance due to flood in Chamoli.,request_medical_aid
"Severe landslide has affected us in Almora, need urgent help!",missing_person
Electricity has gone after earthquake in Nainital.,power_failure
"Due to hailstorm, situation is worsening in Pithoragarh. Need aid!",request_information
"There is a earthquake in Nainital, please assist us.",request_supplies
"There is a earthquake in Almora, please assist us.",missing_person
"There is a drought in Uttarkashi, please assist us.",request_rescue
People missing after cloudburst in Pauri.,missing_person
We need medical assistance due to fire in Nainital.,request_medical_aid
"There is a hailstorm in Bageshwar, please assist us.",power_failure
We need medical assistance due to hailstorm in Bageshwar.,request_medical_aid
Help! Our house is stuck due to a cloudburst in Dehradun.,request_supplies
"We are trapped in a earthquake in Tehri, send help!",request_rescue
"Severe flood has affected us in Rudraprayag, need urgent help!",damage_report
We need to evacuate urgently due to cloudburst in Chamoli.,evacuation_request
Electricity has gone after fire in Chamoli.,power_failure
"We are trapped in a fire in Rudraprayag, send help!",request_rescue
Electricity has gone after flood in Nainital.,power_failure
Water and food are running out after earthquake hit Bageshwar.,request_supplies
People missing after drought in Uttarkashi.,missing_person
"There is a landslide in Dehradun, please assist us.",evacuation_request
People missing after landslide in Pithoragarh.,missing_person
Help! Our house is stuck due to a flood in Uttarkashi.,request_rescue
"There is a drought in Pithoragarh, please assist us.",request_medical_aid
"We are trapped in a hailstorm in Nainital, send help!",request_rescue
We need to evacuate urgently due to fire in Chamoli.,evacuation_request
We need to evacuate urgently due to fire in Bageshwar.,evacuation_request
We need medical assistance due to earthquake in Pauri.,request_medical_aid
"We are trapped in a flood in Dehradun, send help!",request_rescue
"There is a fire in Pauri, please assist us.",evacuation_request
People missing after landslide in Pithoragarh.,missing_person
"Due to hailstorm, situation is worsening in Uttarkashi. Need aid!",request_rescue
Help! Our house is stuck due to a drought in Dehradun.,request_rescue
"There is a earthquake in Almora, please assist us.",damage_report
"Due to landslide, situation is worsening in Chamoli. Need aid!",missing_person
Water and food are running out after earthquake hit Pithoragarh.,request_supplies
Water and food are running out after drought hit Almora.,request_supplies
"We are trapped in a landslide in Chamoli, send help!",request_rescue
We need medical assistance due to hailstorm in Rudraprayag.,request_medical_aid
Help! Our house is stuck due to a flood in Chamoli.,damage_report
Help! Our house is stuck due to a flood in Rudraprayag.,request_information
"We are trapped in a flood in Tehri, send help!",request_rescue
We need to evacuate urgently due to landslide in Dehradun.,evacuation_request
"Due to drought, situation is worsening in Almora. Need aid!",missing_person
"We are trapped in a cloudburst in Nainital, send help!",request_rescue
Electricity has gone after earthquake in Rudraprayag.,power_failure
"We are trapped in a hailstorm in Rudraprayag, send help!",request_rescue
People missing after hailstorm in Uttarkashi.,missing_person
"We are trapped in a hailstorm in Tehri, send help!",request_rescue
We need medical assistance due to hailstorm in Tehri.,request_medical_aid
"There is a cloudburst in Uttarkashi, please assist us.",request_rescue
We need to evacuate urgently due to landslide in Pithoragarh.,evacuation_request
Electricity has gone after flood in Tehri.,power_failure
"Due to landslide, situation is worsening in Rudraprayag. Need aid!",request_information
"Due to drought, situation is worsening in Pithoragarh. Need aid!",damage_report
Help! Our house is stuck due to a landslide in Chamoli.,power_failure
We need medical assistance due to drought in Tehri.,request_medical_aid
"Severe flood has affected us in Almora, need urgent help!",power_failure
Help! Our house is stuck due to a landslide in Uttarkashi.,request_rescue
Electricity has gone after earthquake in Nainital.,power_failure
Help! Our house is stuck due to a hailstorm in Tehri.,power_failure
"We are trapped in a flood in Almora, send help!",request_rescue
Water and food are running out after drought hit Nainital.,request_supplies
Electricity has gone after flood in Uttarkashi.,power_failure
Water and food are running out after cloudburst hit Dehradun.,request_supplies
"Due to cloudburst, situation is worsening in Chamoli. Need aid!",request_information
Help! Our house is stuck due to a earthquake in Pithoragarh.,request_supplies
People missing after earthquake in Bageshwar.,missing_person
We need medical assistance due to hailstorm in Almora.,request_medical_aid
Help! Our house is stuck due to a hailstorm in Pithoragarh.,power_failure
We need to evacuate urgently due to earthquake in Pauri.,evacuation_request
"There is a drought in Almora, please assist us.",request_information
Help! Our house is stuck due to a earthquake in Rudraprayag.,evacuation_request
Water and food are running out after flood hit Bageshwar.,request_supplies
"We are trapped in a flood in Dehradun, send help!",request_rescue
"We are trapped in a drought in Nainital, send help!",request_rescue
We need to evacuate urgently due to landslide in Nainital.,evacuation_request
"We are trapped in a landslide in Rudraprayag, send help!",request_rescue
"We are trapped in a cloudburst in Tehri, send help!",request_rescue
"Due to drought, situation is worsening in Bageshwar. Need aid!",request_supplies
We need to evacuate urgently due to cloudburst in Tehri.,evacuation_request
Electricity has gone after hailstorm in Rudraprayag.,power_failure
"We are trapped in a hailstorm in Nainital, send help!",request_rescue
"We are trapped in a hailstorm in Pauri, send help!",request_rescue
We need to evacuate urgently due to drought in Bageshwar.,evacuation_request
Water and food are running out after fire hit Almora.,request_supplies
"Due to flood, situation is worsening in Bageshwar. Need aid!",missing_person
Help! Our house is stuck due to a flood in Nainital.,missing_person
Electricity has gone after drought in Almora.,power_failure
We need to evacuate urgently due to flood in Pauri.,evacuation_request
We need to evacuate urgently due to earthquake in Rudraprayag.,evacuation_request
People missing after flood in Bageshwar.,missing_person
"We are trapped in a cloudburst in Uttarkashi, send help!",request_rescue
Electricity has gone after drought in Pithoragarh.,power_failure
We need medical assistance due to flood in Dehradun.,request_medical_aid
"There is a landslide in Uttarkashi, please assist us.",request_information
"Severe fire has affected us in Bageshwar, need urgent help!",damage_report
Water and food are running out after hailstorm hit Nainital.,request_supplies
Water and food are running out after cloudburst hit Rudraprayag.,request_supplies
"Due to drought, situation is worsening in Pithoragarh. Need aid!",power_failure
Electricity has gone after earthquake in Dehradun.,power_failure
"Severe earthquake has affected us in Bageshwar, need urgent help!",damage_report
We need to evacuate urgently due to fire in Dehradun.,evacuation_request
We need to evacuate urgently due to flood in Almora.,evacuation_request
"Severe cloudburst has affected us in Chamoli, need urgent help!",request_rescue
Electricity has gone after flood in Pauri.,power_failure
We need to evacuate urgently due to fire in Uttarkashi.,evacuation_request
Water and food are running out after earthquake hit Nainital.,request_supplies
"Severe hailstorm has affected us in Almora, need urgent help!",request_rescue
We need medical assistance due to cloudburst in Bageshwar.,request_medical_aid
We need medical assistance due to drought in Chamoli.,request_medical_aid
"Severe cloudburst has affected us in Rudraprayag, need urgent help!",missing_person
"Due to flood, situation is worsening in Bageshwar. Need aid!",request_supplies
People missing after cloudburst in Dehradun.,missing_person
"We are trapped in a flood in Rudraprayag, send help!",request_rescue
We need medical assistance due to drought in Tehri.,request_medical_aid
Help! Our house is stuck due to a cloudburst in Pauri.,request_medical_aid
We need to evacuate urgently due to landslide in Tehri.,evacuation_request
"Due to flood, situation is worsening in Bageshwar. Need aid!",missing_person
Electricity has gone after landslide in Pithoragarh.,power_failure
We need medical assistance due to earthquake in Bageshwar.,request_medical_aid
Help! Our house is stuck due to a landslide in Pauri.,missing_person
"Due to landslide, situation is worsening in Dehradun. Need aid!",power_failure
Help! Our house is stuck due to a earthquake in Tehri.,power_failure
We need to evacuate urgently due to cloudburst in Dehradun.,evacuation_request
"There is a hailstorm in Chamoli, please assist us.",request_information
"Severe earthquake has affected us in Chamoli, need urgent help!",evacuation_request
Electricity has gone after cloudburst in Dehradun.,power_failure
People missing after landslide in Dehradun.,missing_person
"There is a hailstorm in Pauri, please assist us.",power_failure
People missing after landslide in Pauri.,missing_person
We need to evacuate urgently due to earthquake in Almora.,evacuation_request
We need medical assistance due to fire in Tehri.,request_medical_aid
People missing after landslide in Chamoli.,missing_person
"Severe landslide has affected us in Pithoragarh, need urgent help!",request_information
"There is a cloudburst in Chamoli, please assist us.",damage_report
We need medical assistance due to earthquake in Dehradun.,request_medical_aid
We need medical assistance due to cloudburst in Bageshwar.,request_medical_aid
"We are trapped in a fire in Pauri, send help!",request_rescue
"Due to drought, situation is worsening in Dehradun. Need aid!",request_rescue
We need to evacuate urgently due to flood in Nainital.,evacuation_request
"There is a earthquake in Pithoragarh, please assist us.",request_information
"There is a cloudburst in Almora, please assist us.",request_medical_aid
Help! Our house is stuck due to a fire in Chamoli.,power_failure
Water and food are running out after drought hit Chamoli.,request_supplies
We need to evacuate urgently due to flood in Rudraprayag.,evacuation_request
"Due to fire, situation is worsening in Tehri. Need aid!",damage_report
"Due to earthquake, situation is worsening in Tehri. Need aid!",request_supplies
Water and food are running out after cloudburst hit Pauri.,request_supplies
We need medical assistance due to fire in Tehri.,request_medical_aid
"Severe earthquake has affected us in Rudraprayag, need urgent help!",missing_person
"Due to hailstorm, situation is worsening in Bageshwar. Need aid!",evacuation_request
Help! Our house is stuck due to a landslide in Uttarkashi.,evacuation_request
We need to evacuate urgently due to hailstorm in Chamoli.,evacuation_request
Help! Our house is stuck due to a fire in Chamoli.,power_failure
"We are trapped in a hailstorm in Rudraprayag, send help!",request_rescue
People missing after drought in Pithoragarh.,missing_person
Electricity has gone after flood in Nainital.,power_failure
"Severe flood has affected us in Chamoli, need urgent help!",power_failure
We need to evacuate urgently due to drought in Pithoragarh.,evacuation_request
People missing after flood in Pauri.,missing_person
People missing after landslide in Rudraprayag.,missing_person
"We are trapped in a earthquake in Uttarkashi, send help!",request_rescue
"Severe fire has affected us in Bageshwar, need urgent help!",request_supplies
People missing after hailstorm in Bageshwar.,missing_person
"Severe landslide has affected us in Rudraprayag, need urgent help!",missing_person
We need to evacuate urgently due to fire in Almora.,evacuation_request
Help! Our house is stuck due to a landslide in Tehri.,power_failure
We need medical assistance due to flood in Dehradun.,request_medical_aid
"We are trapped in a earthquake in Pithoragarh, send help!",request_rescue
People missing after landslide in Nainital.,missing_person
Help! Our house is stuck due to a landslide in Uttarkashi.,damage_report
Water and food are running out after flood hit Nainital.,request_supplies
"Severe hailstorm has affected us in Dehradun, need urgent help!",missing_person
We need to evacuate urgently due to flood in Pauri.,evacuation_request
"We are trapped in a drought in Pithoragarh, send help!",request_rescue
Electricity has gone after drought in Chamoli.,power_failure
People missing after earthquake in Pauri.,missing_person
"Severe hailstorm has affected us in Tehri, need urgent help!",damage_report
Water and food are running out after drought hit Bageshwar.,request_supplies
Help! Our house is stuck due to a hailstorm in Almora.,request_information
"We are trapped in a earthquake in Uttarkashi, send help!",request_rescue
Help! Our house is stuck due to a landslide in Rudraprayag.,damage_report
Water and food are running out after drought hit Dehradun.,request_supplies
People missing after flood in Tehri.,missing_person
"Severe hailstorm has affected us in Rudraprayag, need urgent help!",evacuation_request
Electricity has gone after cloudburst in Dehradun.,power_failure
"Due to flood, situation is worsening in Rudraprayag. Need aid!",request_medical_aid
"Severe earthquake has affected us in Dehradun, need urgent help!",request_supplies
We need to evacuate urgently due to landslide in Almora.,evacuation_request
"Severe cloudburst has affected us in Pithoragarh, need urgent help!",damage_report
"There is a earthquake in Dehradun, please assist us.",request_medical_aid
"Due to hailstorm, situation is worsening in Bageshwar. Need aid!",request_supplies
"There is a drought in Bageshwar, please assist us.",request_supplies
"There is a landslide in Bageshwar, please assist us.",evacuation_request
"Severe hailstorm has affected us in Almora, need urgent help!",damage_report
Help! Our house is stuck due to a drought in Rudraprayag.,damage_report
People missing after earthquake in Chamoli.,missing_person
"There is a landslide in Tehri, please assist us.",request_information
Water and food are running out after earthquake hit Uttarkashi.,request_supplies
"We are trapped in a landslide in Rudraprayag, send help!",request_rescue
People missing after flood in Bageshwar.,missing_person
Water and food are running out after hailstorm hit Chamoli.,request_supplies
Electricity has gone after earthquake in Rudraprayag.,power_failure
